Chapter,Number of Duas,Arabic,Transliteration,Translation,Reference
Uncategorized,N/A,اللّهُـمَّ بِكَ أَصْـبَحْنا وَبِكَ أَمْسَـينا وَبِكَ نَحْـيا وَبِكَ نَمـوتُ وَإِلَـيْكَ النِّـشوروإذا أمسي فليقل : اللهم بك أمسينا وبك أصبحنا وبك نحيا وبك نموت وإليك المصير,"Allāhumma bika aṣbaḥnā. wa bika amsaynā. wa bika naḥyā, wa bika namūt. wa ilaykan-nushūr.When you say this in the evening you should say:Allāhumma bika amsaynā wa bika aṣbaḥnā. wa bika naḥyā, wa bika namūt. wa ilaykal-maṣīr","O Allah, by You we enter the morning and by You we enter the evening, by You we live and by You we die, and to You is the Final Return. O Allah, You bring us the end of the day as You bring us its beginning, You bring us life and you bring us death, and to You is our fate.",Reference:Sahih At-Tirmidhi 3/142.'Hisnul Muslim 78
Uncategorized,N/A,اللّهـمَّ أَنْتَ رَبِّـي لا إلهَ إلاّ أَنْتَ خَلَقْتَنـي وَأَنا عَبْـدُك وَأَنا عَلـى عَهْـدِكَ وَوَعْـدِكَ ما اسْتَـطَعْـت أَعـوذُ بِكَ مِنْ شَـرِّ ما صَنَـعْت أَبـوءُ لَـكَ بِنِعْـمَتِـكَ عَلَـيَّ وَأَبـوءُ بِذَنْـبي فَاغْفـِرْ لي فَإِنَّـهُ لا يَغْـفِرُ الذُّنـوبَ إِلاّ أَنْتَ,Allāhumma anta Rabbī lā ilāha illā ant. khalaqtanī wa anā `abduk. wa anā `alā `ahdika wa wa`dika mastaṭa`t. a`ūdhu bika min sharri mā ṣana`t. abū'u laka bi ni`matika `alay. wa abū'u bidhanbī faghfir līfa'innahu lā yaghfirudh-dhunūba illā ant.,"O Allah, You are my Lord, there is none worthy of worship but You. You created me and I am your slave. I keep Your covenant, and my pledge to You so far as I am able. I seek refuge in You from the evil of what I have done. I admit to Your blessings upon me, and I admit to my misdeeds. Forgive me, for there is none who may forgive sins but You.","Reference:Whoever recites this with conviction in the evening and dies during that night shall enter Paradise, and whoever recites it with conviction in the morning and dies during that day shall enter Paradise, Al-Bukhari 7/150. Other reports are in An-Nasa'i and At-Tirmidhi.Hisnul Muslim 79"
Uncategorized,N/A,اللّهُـمَّ إِنِّـي أَصْبَـحْتُ أَُشْـهِدُك  وَأُشْـهِدُ حَمَلَـةَ عَـرْشِـك  وَمَلائِكَتِك  وَجَمـيعَ خَلْـقِك  أَنَّـكَ أَنْـتَ اللهُ لا إلهَ إلاّ أَنْـتَ وَحْـدَكَ لا شَريكَ لَـك  وَأَنَّ ُ مُحَمّـداً عَبْـدُكَ وَرَسـولُـك . (أربع مرات حينَ يصْبِح أوْ يمسي),Allāhumma innī aṣbaḥtu ush-hidukawa ush-hidu ḥamalata `arshik. wa malā'ikataka wajamī`a khalqik. annaka antallāhu lā ilāha illā ant. waḥdaka lā sharīka lak. wa anna Muḥammadan `abduka wa rasūluk.,"O Allah, I have entered a new morning 1 and call upon You and upon the bearers of Your Throne, upon Your angels and all creation to bear witness that surely You are Allah, there is none worthy of worship but You alone, You have no partners, and that Muhammad is Your slave and Your Messenger.(Recite four times in Arabic.) 2","Reference:1 When you say this in the evening you should say, Allāhumma innī amsaytu. . . .: ""O Allah, I have ended another day..."" 2 ""Allah will spare whoever says this four times in the morning or evening from the fire of Hell."" Abu Dawud 4/317. It was also reported by Al-Bukhari in Al-'Adab Al-Mufrad, An-Nasa'i in 'Amalul-Yawm wal-Laylah and Ibn As-Sunni. Nasa'i's and Abu Dawud's chains of transmission are good (Hasan), Ibn Baz, p. 23.Hisnul Muslim 80"
Uncategorized,N/A,اللّهُـمَّ ما أَصْبَـَحَ بي مِـنْ نِعْـمَةٍ أَو بِأَحَـدٍ مِـنْ خَلْـقِك  فَمِـنْكَ وَحْـدَكَ لا شريكَ لَـك  فَلَـكَ الْحَمْـدُ وَلَـكَ الشُّكْـر,Allāhumma mā aṣbaha bī min ni`matinaw bi aḥadin min khalqik. fa minka waḥdaka lā sharīka lak. falaka ‘l-ḥamdu wa lakash-shukr.,"O Allah, whatever blessing has been received by me or anyone of Your creation1is from You alone, You have no partner. All praise is for you and thanks is to You. 2","Reference:1 When you say this in the evening, you should say: Allāhumma mā 'amsā bī...: ""O Allah, as I... enter this evening..."" 2 Whoever recites this in the morning, has completed his obligation to thank Allah for that day; and whoever says it in the evening, has completed his obligation for that night. Abu Dawud 4/318, An-Nasa'i 'Amalul-Yawm wal-Laylah (no. 7), Ibn As-Sunni (no. 41), Ibn Hibban (no. 2361). Its chain of transmission is good (Hasan), Ibn Baz, p. 24.Hisnul Muslim 81"
Uncategorized,N/A,اللّهُـمَّ عافِـني في بَدَنـي اللّهُـمَّ عافِـني في سَمْـعي اللّهُـمَّ عافِـني في بَصَـري لا إلهَ إلاّ اللّه أَنْـتَ. اللّهُـمَّ إِنّـي أَعـوذُبِكَ مِنَ الْكُـفر وَالفَـقْر وَأَعـوذُ بِكَ مِنْ عَذابِ القَـبْر لا إلهَ إلاّ أَنْـتَ. (ثلاث مرات),"Allāhumma `āfinī fī badanī. Allāhumma `āfinī fī sam`ī. Allāhumma `āfinī fī baṣarī. lā ilāha illā ant. Allāhumma innī a`ūdhu bika mina ‘l-kufri, wa ‘l-faqr. wa a`ūdhu bika min `adhābi ‘l-qabr. lā ilāha illā ant.","O Allah, make me healthy in my body. O Allah, preserve for me my hearing. O Allah, preserve for me my sight. There is none worthy of worship but You. O Allah, I seek refuge in You from disbelief and poverty, and I seek refuge in You from the punishment of the grave. There is none worthy of worship but You(Recite three times in Arabic.)","Reference:Abu Dawud 4/324, Ahmad 5/42, An-Nasa'i, 'Amalul-Yawm wal-Laylah (no. 22), Ibn As-Sunni (no. 69), Al-Bukhari Al-'Adab Al-Mufrad. Its chain of transmission is good (Hasan), Ibn Baz, p. 26.Hisnul Muslim 82"
Uncategorized,N/A,حَسْبِـيَ اللّهُ لا إلهَ إلاّ هُوَ عَلَـيهِ تَوَكَّـلتُ وَهُوَ رَبُّ العَرْشِ العَظـيم. (سبع مرات),Ḥasbiyallāhu lā ilāha illā huwa `alayhi tawakkalt. wa huwa Rabbu ‘l-`Arshi ‘l-'Aẓīm.,"Allah is sufficient for me. There is none worthy of worship but Him. I have placed my trust in Him, He is Lord of the Majestic Throne.(Recite seven times in Arabic.)","Reference:Allah will grant whoever recites this seven times in the morning or evening whatever he desires from this world or the next, Ibn As-Sunni (no. 71), Abu Dawud 4/321. Both reports are attributed directly to the Prophet j§ (Marfu1). The chain of transmission is sound (Sahih). Ibn As-Sunni.Hisnul Muslim 83"
Uncategorized,N/A,اللّهُـمَّ إِنِّـي أسْـأَلُـكَ العَـفْوَ وَالعـافِـيةَ في الدُّنْـيا وَالآخِـرَة  اللّهُـمَّ إِنِّـي أسْـأَلُـكَ العَـفْوَ وَالعـافِـيةَ في ديني وَدُنْـيايَ وَأهْـلي وَمالـي  اللّهُـمَّ اسْتُـرْ عـوْراتي وَآمِـنْ رَوْعاتـي  اللّهُـمَّ احْفَظْـني مِن بَـينِ يَدَيَّ وَمِن خَلْفـي وَعَن يَمـيني وَعَن شِمـالي  وَمِن فَوْقـي  وَأَعـوذُ بِعَظَمَـتِكَ أَن أُغْـتالَ مِن تَحْتـي,"Allāhumma innī as'aluka 'l-`afwa wal-`āfiyahfid-dunyā wal-ākhirah. Allāhumma innī as'aluka 'l-`afwa wal-`āfiyahfī dīnī wa dunyāya, wa ahlī, wa mālī. Allāhummastur `awrātī. wa āmin raw`ātī. Allāhummaḥfaẓnī min bayni yadayya, wa min khalfī. wa `an yamīnī, wa `an shimālī. wa min fawqī. wa a`ūdhu bi`aẓamatika an 'ughtāla min taḥtī.","O Allah, I seek Your forgiveness and Your protection in this world and the next. O Allah, I seek Your forgiveness and Your protection in my religion, in my worldly affairs, in my family and in my wealth. O Allah, conceal my secrets and preserve me from anguish. O Allah, guard me from what is in front of me and behind me, from my left, and from my right, and from above me. I seek refuge in Your Greatness from being struck down from beneath me.",Reference:Sahih Ibn Majah 2/332 and Abu Dawud.Hisnul Muslim 84
Uncategorized,N/A,اللّهُـمَّ عالِـمَ الغَـيْبِ وَالشّـهادَةِ فاطِـرَ السّماواتِ وَالأرْضِ رَبَّ كـلِّ شَـيءٍ وَمَليـكَه  أَشْهَـدُ أَنْ لا إِلـهَ إِلاّ أَنْت  أَعـوذُ بِكَ مِن شَـرِّ نَفْسـي وَمِن شَـرِّ الشَّيْـطانِ وَشِـرْكِه  وَأَنْ أَقْتَـرِفَ عَلـى نَفْسـي سوءاً أَوْ أَجُـرَّهُ إِلـى مُسْـلِم,"Allāhumma `ālima ‘l-ghaybi wash-shahādahfātir as-samāwāti wa ‘l'arḍ. Rabba kulli shay'in wa malīkah. ash-hadu an lā ilāha illā ant. a`ūdhu bika min sharri nafsī. wa min sharrish-shayṭāni wa shirkih. wa an aqtarifa `alā nafsī sū'an, aw ajurrahu ilā Muslim.","O Allah, Knower of the unseen and the evident, Maker of the heavens and the earth, Lord of everything and its Possessor, I bear witness that there is none worthy of worship but You. I seek refuge in You from the evil of my soul, and from the evil of Satan and his helpers.(I seek refuge in You) from bringing evil upon my soul and from harming any Muslim.",Reference:Sahih At-Tirmidhi 3/142 and AbuDawud.Hisnul Muslim 85
Uncategorized,N/A,بِسـمِ اللهِ الذي لا يَضُـرُّ مَعَ اسمِـهِ شَيءٌ في الأرْضِ وَلا في السّمـاءِ وَهـوَ السّمـيعُ العَلـيم . (ثلاث مرات),Bismillāhi ‘l-ladhī lā yaḍurru ma`a-smihishay'un fil-'arḍi wa lā fis-samā'wa huwas-Samī `ul-`Alīm.,"In the Name of Allah, Who with His Name nothing can cause harm in the earth nor in the heavens, and He is the All-Hearing, the All-Knowing. (Recite three times in Arabic).","Reference:Whoever recites it three times in the morning will not be afflicted by any calamity before evening, and whoever recites it three times in the evening will not be overtaken by any calamity before morning. Abu Dawud 4/323, At-Tirmidhi 5/465, Ibn Majah 2/332, Ahmad. Ibn Majah's chain of transmission is good (Hasan), Ibn Baz, p. 39.Hisnul Muslim 86"
Uncategorized,N/A,رَضيـتُ بِاللهِ رَبَّـاً وَبِالإسْلامِ ديـناً وَبِمُحَـمَّدٍ نَبِيّـاً .,Raḍītu billāhi Rabba. wa bil-Islāmi dīna. wa bi-Muḥammadin (ṣallallāhu `alayhi wa sallama) nabiyya.,"I am pleased with Allah as my Lord, with Islam as my religion, and with Muhammad (peace and blessings of Allah be upon him) as my Prophet.(Recite three times in Arabic.)","Reference:Allah has promised that anyone who says this three times every morning or evening will be pleased on the Day of Resurrection. Ahmad 4/ 337, An-Nasa'i, 'Amalul-Yawm wal-Laylah p. 4, Ibn As-Sunni (no. 68), At-Tirmidhi 5/465. Its chain of transmission is good (Hasan), Ibn Baz, p. 39.Hisnul Muslim 87"
Uncategorized,N/A,يا حَـيُّ يا قَيّـومُ بِـرَحْمَـتِكِ أَسْتَـغـيث  أَصْلِـحْ لي شَـأْنـي كُلَّـه  وَلا تَكِلـني إِلى نَفْـسي طَـرْفَةَ عَـين,Yā Ḥayyu yā Qayyūmu biraḥmatika astaghīthaṣlih lī sha'nī kullahwa lā takilnī ilā nafsī ṭarfata `ayn.,"O Ever-Living One, O Eternal One, by Your mercy I call on You to set right all my affairs. Do not place me in charge of my soul even for the blinking of an eye (i. e. a moment).","Reference:Its chain of transmission is sound (Sahih), Al-Hakim 1/545, see Albani, Sahihut-Targhib wat-Tarhib, 1/273.Hisnul Muslim 88"
Uncategorized,N/A,أَصْبَـحْـنا وَأَصْبَـحْ المُـلكُ للهِ رَبِّ العـالَمـين اللّهُـمَّ إِنِّـي أسْـأَلُـكَ خَـيْرَ هـذا الـيَوْم فَـتْحَهُ وَنَصْـرَهُ وَنـورَهُ وَبَـرَكَتَـهُ وَهُـداهُ وَأَعـوذُ بِـكَ مِـنْ شَـرِّ ما فـيهِ وَشَـرِّ ما بَعْـدَه,"Aṣbaḥnā wa aṣbaḥal-mulku lillāhi Rabbi ‘l-a`lāmīn. Allāhumma innī as'aluka khayra hādha ‘l-yawm:Fat’ḥahu wa naṣrahu wa nūrahu. wa barakatahu, wa hudāh. wa a`ūdhu bika min sharri mā fīhiwa sharri mā ba`dah.","We have entered a new day and with it all the dominion which belongs to Allah, Lord of all that exists. O Allah, I ask You for the goodness of this day, 2its victory, its help, its light, its blessings, and its guidance. I seek refuge in You from the evil that is in it, and from the evil that follows it.","Reference:1 For evening recitation, say here: Allāhumma innī as'aluka khayra hāthihil-laylah: ""My Lord, I ask You for the good things of this night."" 2 Abu Dawud 4/322. Its transmission chain is good (Hasan). See also Ibn Al-Qayyim, Zadul- Ma'ad 2/273.Hisnul Muslim 89"
Uncategorized,N/A,أَصْـبَحْنا[أَمْسَـينا] علـى فِطْـرَةِ الإسْلام وَعَلـى كَلِـمَةِ الإخْـلاص وَعلـى دينِ نَبِـيِّنا مُحَـمَّدٍ وَعَلـى مِلَّـةِ أبينـا إِبْـراهيـمَ حَنيـفاً مُسْلِـماً وَمـا كـانَ مِنَ المُشـرِكيـن,"Aṣbahnā `alā fiṭrati ‘l-Islām. wa `alā kalimati ‘l-ikhlās. wa `alā dīni nabiyyinā Muḥammadin (ṣallallāhu `alayhi wa sallam). wa `alā millati abīnā Ibrāhīm,ḥanīfan Muslimanwa mā kāna mina ‘l-mushrikīn.","We have entered a new day 1 upon the natural religion of Islam, the word of sincere devotion, the religion of our Prophet Muhammad (peace and blessings of Allah be upon him), and the faith of our father Ibrahim. He was upright (in worshipping Allah), and a Muslim. He was not of those who worship others besides Allah. 2","Reference:1 When you say this in the evening, you should say: 'Amsaynā `alā fiṭratil-Islām...: ""We end this day..."" 2 Ahmad 3/406-7, 5/123, An-Nasa'i, 'Amalul- Yawm wal-Laylah (no. 34), At-Tirmidhi 4/209.Hisnul Muslim 90"
Uncategorized,N/A,سُبْحـانَ اللهِ وَبِحَمْـدِهِ . (مائة مرة),Subḥānallāhi wa biḥamdih.,Glory is to Allah and praise is to Him.(Recite one hundred times in Arabic).,Reference:Whoever recites this one hundred times in the morning and in the evening will not be surpassed on the Day of Resurrection by anyone having done better than this except for someone who had recited it more. Al-Bukhari 4/2071.Hisnul Muslim 91
Uncategorized,N/A,لا إلهَ إلاّ اللّهُ وحْـدَهُ لا شَـريكَ لهُ لهُ المُـلْكُ ولهُ الحَمْـد وهُوَ على كُلّ شَيءٍ قَدير . (عشر مرات أَوْ مرَّةً واحدةً عندَ الكَسَلِ),Lā ilāha illallāhu waḥdahu lā sharīka lah. lahu ‘l-mulku walahu ‘l-ḥamd. wa huwa `alā kulli shay'in qadīr.,"None has the right to be worshipped but Allah alone, Who has no partner. His is the dominion and His is the praise and He is Able to do all things.(Recite ten times 1 in Arabic or one time to ward off laziness.) 2","Reference:1Allah will write ten Hasanaat (rewards) for whoever recites this ten times in the morning, and forgive him ten misdeeds and give him the reward of freeing ten slaves and protect him from Satan. Whoever recites this ten times in the evening will get this same reward. An-Nasa'i, 'Amalul-Yawm wal-Laylah (no. 24). Its chain of transmission is sound (Sahih). Albani 1/272. Abu Hurayrah «fe narrated that the Prophet j§ said: ""Allah will write one hundred Hasanat for whoever says There is no God but Allah alone, He has no partner. To Allah is possession of everything, and to Him all praise is. He is Capable of all things' ten times in the morning, and forgive him one hundred misdeeds. He will have the reward of freeing a slave and will be protected from Satan throughout the day unto dusk. Whoever says it in the evening will have the same reward."" Ahmad 8/704, 16/293. Its chain of transmission is good (Hasan), Ibn Baz, p. 44. 2 Whoever recites this in the morning, will have the reward of freeing a slave from the Children of Isma'il. Ten Hasanaat (rewards) will be written for him, and he will be forgiven ten misdeeds, raised up ten degrees, and be protected from Satan until evening. Whoever says it in the evening will have the same reward until morning. Abu Dawud 4/319, 3/957, Ahmad 4/ 60, Ibn Majah 2/331, Ibn Al-Qayyim Zadul-Ma'ad 2/388. Its chain of transmission is sound (Sahih). Al-Albani 1/270.Hisnul Muslim 92"
